filename,basename,exit_code,toolid,findings,true_reentrancy,predicted_reentrancy
src/00_BasicCall_ree1.sol,00_BasicCall_ree1.sol,0,ccc,{},True,False
src/00_BasicCall_safe1.sol,00_BasicCall_safe1.sol,0,ccc,{},False,False
src/00_BasicConst_ree1.sol,00_BasicConst_ree1.sol,0,ccc,{},True,False
src/00_BasicConst_safe1.sol,00_BasicConst_safe1.sol,0,ccc,{},False,False
src/00_BasicCross_ree1.sol,00_BasicCross_ree1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
src/00_BasicEmit_ree1.sol,00_BasicEmit_ree1.sol,0,ccc,{},True,False
src/00_BasicEmit_safe1.sol,00_BasicEmit_safe1.sol,0,ccc,{},False,False
src/00_BasicError_ree1.sol,00_BasicError_ree1.sol,0,ccc,{},True,False
src/00_BasicError_safe1.sol,00_BasicError_safe1.sol,0,ccc,{},False,False
src/00_BasicFold_ree1.sol,00_BasicFold_ree1.sol,0,ccc,{},True,False
src/00_BasicFold_ree2.sol,00_BasicFold_ree2.sol,0,ccc,{},True,False
src/00_BasicFold_safe1.sol,00_BasicFold_safe1.sol,0,ccc,{},False,False
src/00_BasicFold_safe2.sol,00_BasicFold_safe2.sol,0,ccc,{},False,False
src/00_BasicInline_ree1.sol,00_BasicInline_ree1.sol,0,ccc,"{Reentrancy_Vulnerability,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,True
src/00_BasicInline_safe1.sol,00_BasicInline_safe1.sol,0,ccc,{Reentrancy_Vulnerability},False,True
src/00_BasicNoCall_safe1.sol,00_BasicNoCall_safe1.sol,0,ccc,{},False,False
src/00_BasicNoChecks_ree1.sol,00_BasicNoChecks_ree1.sol,0,ccc,{},True,False
src/00_BasicNoChecks_safe1.sol,00_BasicNoChecks_safe1.sol,0,ccc,{},False,False
src/00_BasicStaticcall_safe1.sol,00_BasicStaticcall_safe1.sol,0,ccc,{},False,False
src/00_BasicUnchecked_ree1.sol,00_BasicUnchecked_ree1.sol,0,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
src/00_BasicUnchecked_safe1.sol,00_BasicUnchecked_safe1.sol,0,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
src/01_SingleMutexFoldUnderflow_ree1.sol,01_SingleMutexFoldUnderflow_ree1.sol,0,ccc,{},True,False
src/01_SingleMutexFoldUnderflow_safe1.sol,01_SingleMutexFoldUnderflow_safe1.sol,0,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
src/01_SingleMutexFold_ree1.sol,01_SingleMutexFold_ree1.sol,0,ccc,{},True,False
src/01_SingleMutexFold_ree2.sol,01_SingleMutexFold_ree2.sol,0,ccc,{},True,False
src/01_SingleMutexFold_ree3.sol,01_SingleMutexFold_ree3.sol,0,ccc,{},True,False
src/01_SingleMutexFold_safe1.sol,01_SingleMutexFold_safe1.sol,0,ccc,{},False,False
src/01_SingleMutex_ree1.sol,01_SingleMutex_ree1.sol,0,ccc,{},True,False
src/01_SingleMutex_ree2.sol,01_SingleMutex_ree2.sol,0,ccc,{},True,False
src/01_SingleMutex_safe1.sol,01_SingleMutex_safe1.sol,0,ccc,{},False,False
src/01_SingleMutex_safe2.sol,01_SingleMutex_safe2.sol,0,ccc,{},False,False
src/02_CrossMutexUnchecked_ree1.sol,02_CrossMutexUnchecked_ree1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
src/02_CrossMutexUnchecked_safe1.sol,02_CrossMutexUnchecked_safe1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
src/02_CrossMutexUnderflow_ree1.sol,02_CrossMutexUnderflow_ree1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
src/02_CrossMutexUnderflow_safe1.sol,02_CrossMutexUnderflow_safe1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
src/02_CrossMutex_ree1.sol,02_CrossMutex_ree1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
src/02_CrossMutex_ree2.sol,02_CrossMutex_ree2.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
src/02_CrossMutex_safe1.sol,02_CrossMutex_safe1.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
src/02_CrossMutex_safe2.sol,02_CrossMutex_safe2.sol,0,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
src/03_SingleModFoldUnderflow_ree1.sol,03_SingleModFoldUnderflow_ree1.sol,0,ccc,{A_miner_can_use_others_input_to_gain_a_benefit_himself},True,False
src/03_SingleModFoldUnderflow_safe1.sol,03_SingleModFoldUnderflow_safe1.sol,0,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
src/03_SingleModFold_ree1.sol,03_SingleModFold_ree1.sol,0,ccc,{},True,False
src/03_SingleModFold_ree2.sol,03_SingleModFold_ree2.sol,0,ccc,{},True,False
src/03_SingleModFold_ree3.sol,03_SingleModFold_ree3.sol,0,ccc,{},True,False
src/03_SingleModFold_safe1.sol,03_SingleModFold_safe1.sol,0,ccc,{A_miner_can_use_others_input_to_gain_a_benefit_himself},False,False
src/03_SingleModUnderflow_ree1.sol,03_SingleModUnderflow_ree1.sol,0,ccc,{},True,False
src/03_SingleModUnderflow_safe1.sol,03_SingleModUnderflow_safe1.sol,0,ccc,{},False,False
src/03_SingleMod_ree1.sol,03_SingleMod_ree1.sol,0,ccc,{},True,False
src/03_SingleMod_ree2.sol,03_SingleMod_ree2.sol,0,ccc,{},True,False
